U.S. Energy Information Administration													
November 2015 Monthly Energy Review													
													
Note: Information about data precision.													
													
"Release Date: November 24, 2015"													
"Next Update: December 23, 2015"													
													
Table 1.2 Primary Energy Production by Source													
													
Annual Total	Coal Production	Natural Gas (Dry) Production	Crude Oil Production	Natural Gas Plant Liquids Production	Total Fossil Fuels Production	Nuclear Electric Power Production	Hydroelectric Power Production	Geothermal Energy Production	Solar/PV Energy Production	Wind Energy Production	Biomass Energy Production	Total Renewable Energy Production	Total Primary Energy Production
1966	13.467679	17.010742	17.561025	1.995921	50.035367	0.064158	2.061519	0.001958	0	0	1.368985	3.432462	53.531987
1967	13.825487	17.943168	18.651304	2.177174	52.597132	0.088456	2.346664	0.0033	0	0	1.340249	3.690213	56.375801
1968	13.608678	19.067853	19.308444	2.321212	54.306187	0.141534	2.348629	0.004532	0	0	1.419495	3.772656	58.220376
1969	13.863346	20.446462	19.556156	2.419605	56.285569	0.153722	2.647983	0.006422	0	0	1.440487	4.094892	60.534182
1970	14.607064	21.66567	20.40121	2.512128	59.186071	0.239347	2.633547	0.005511	0	0	1.430962	4.070021	63.495439
1971	13.185523	22.279791	20.032701	2.543544	58.04156	0.412939	2.824151	0.005739	0	0	1.432323	4.262213	62.716712
1972	14.091685	22.207545	20.041134	2.597539	58.937904	0.583752	2.863865	0.015079	0	0	1.503065	4.382009	63.903664
1973	13.992126	22.187349	19.493237	2.568779	58.241491	0.910177	2.861448	0.020422	0	0	1.529068	4.410938	63.562605
1974	14.074451	21.210145	18.574993	2.471169	56.330758	1.272083	3.17658	0.02561	0	0	1.539662	4.741852	62.344692
1975	14.989315	19.640343	17.729318	2.374297	54.733273	1.899798	3.154607	0.03378	0	0	1.498734	4.68712	61.320191
1976	15.653687	19.480319	17.261844	2.327046	54.722896	2.111121	2.976265	0.037513	0	0	1.713373	4.727151	61.561168
1977	15.754741	19.565321	17.453737	2.326983	55.100782	2.701762	2.333252	0.037382	0	0	1.838332	4.208966	62.011511
1978	14.909809	19.485219	18.433653	2.245438	55.074118	3.024126	2.936983	0.030851	0	0	2.037605	5.00544	63.103684
1979	17.539583	20.076347	18.103598	2.286081	58.005609	2.775827	2.930686	0.040262	0	0	2.151906	5.122854	65.90429
1980	18.597726	19.9076	18.248917	2.25363	59.007873	2.739169	2.900144	0.052699	0	0	2.4755	5.428342	67.175384
1981	18.376773	19.699155	18.146019	2.307382	58.529329	3.007589	2.757968	0.059437	0	0	2.596283	5.413688	66.950606
1982	18.638773	18.319025	18.308947	2.191077	57.457822	3.131148	3.265558	0.050627	0	0	2.663452	5.979637	66.568607
1983	17.246671	16.593389	18.391794	2.184107	54.415961	3.202549	3.52726	0.06391	0	0.000028	2.904414	6.495612	64.114122
1984	19.719216	18.007933	18.848237	2.27377	58.849156	3.552531	3.385811	0.080811	0.000055	0.000068	2.97112	6.437864	68.83955
1985	19.325166	16.98038	18.992407	2.240771	57.538724	4.075563	2.970192	0.097421	0.000111	0.00006	3.016233	6.084017	67.698304
1986	19.509466	16.540801	18.375862	2.149102	56.575231	4.380109	3.071179	0.107677	0.000147	0.000044	2.932095	6.11114	67.06648
1987	20.141104	17.135819	17.674787	2.215035	57.166745	4.753933	2.634508	0.11227	0.000109	0.000037	2.874884	5.621807	67.542485
1988	20.737639	17.598597	17.278931	2.25983	57.874997	5.586968	2.334265	0.106338	0.000094	0.000009	3.016049	5.456754	68.918719
1989	21.360178	17.847275	16.116883	2.158342	57.482679	5.602161	2.837263	0.161539	0.05504	0.022033	3.159357	6.235232	69.320072
1990	22.487548	18.326155	15.571185	2.174714	58.559602	6.10435	3.046391	0.170747	0.05942	0.029007	2.735112	6.040676	70.704629
1991	21.636424	18.228736	15.700826	2.30574	57.871727	6.422132	3.015943	0.177626	0.062354	0.030796	2.781797	6.068516	70.362375
1992	21.694132	18.3751	15.222863	2.362961	57.655057	6.479206	2.617436	0.178699	0.063676	0.029863	2.931678	5.821352	69.955616
1993	20.335654	18.584037	14.49439	2.408002	55.822082	6.410499	2.891613	0.185673	0.06606	0.030987	2.908446	6.082779	68.31536
1994	22.202083	19.348013	14.102563	2.390979	58.043638	6.693877	2.683457	0.173464	0.068102	0.03556	3.027534	5.988117	70.725632
1995	22.12955	19.082245	13.886757	2.441583	57.540135	7.075436	3.205307	0.152057	0.069347	0.03263	3.099082	6.558423	71.173994
1996	22.790148	19.344268	13.722899	2.52991	58.387225	7.086674	3.589656	0.163359	0.070417	0.03344	3.155301	7.012173	72.486072
1997	23.309614	19.393851	13.65802	2.495207	58.856691	6.596992	3.640458	0.166698	0.069586	0.033581	3.107908	7.01823	72.471913
1998	24.045198	19.613295	13.23513	2.420459	59.314083	7.067809	3.297054	0.16845	0.069053	0.030853	2.92893	6.494339	72.87623
1999	23.295084	19.340703	12.451046	2.527649	57.614481	7.610256	3.267575	0.170921	0.067937	0.045894	2.965132	6.517459	71.742196
2000	22.735478	19.661529	12.358101	2.610916	57.366024	7.862349	2.811116	0.164364	0.065587	0.057057	3.005661	6.103785	71.332158
2001	23.54708	20.165567	12.281566	2.547136	58.541348	8.028853	2.241858	0.164461	0.064267	0.069617	2.624162	5.164365	71.734567
2002	22.732237	19.382055	12.160213	2.559168	56.833673	8.145429	2.689017	0.171164	0.063006	0.105334	2.705406	5.733927	70.713029
2003	22.093652	19.633304	11.959568	2.34626	56.032784	7.959622	2.792539	0.173445	0.061948	0.113273	2.804778	5.945983	69.938389
2004	22.852099	19.074254	11.550145	2.46585	55.942348	8.222774	2.688468	0.178147	0.062685	0.141664	2.996017	6.06698	70.232102
2005	23.185189	18.556015	10.974152	2.333842	55.049197	8.16081	2.702942	0.180703	0.063446	0.178088	3.101186	6.226365	69.436371
2006	23.78951	19.021706	10.768316	2.355836	55.935367	8.214626	2.869035	0.1812	0.068441	0.263738	3.211515	6.593929	70.743922
2007	23.492742	19.786209	10.748812	2.408589	56.436351	8.458589	2.446389	0.185774	0.075657	0.340503	3.47208	6.520403	71.415344
2008	23.851368	20.702884	10.616413	2.419358	57.590023	8.426491	2.511108	0.192433	0.088767	0.545548	3.86825	7.206107	73.22262
2009	21.623721	21.13945	11.334597	2.573782	56.67155	8.35522	2.668824	0.200185	0.097766	0.721129	3.952617	7.64052	72.667291
2010	22.038226	21.805763	11.591783	2.781288	58.21706	8.434433	2.538541	0.207979	0.125901	0.923427	4.316479	8.112327	74.76382
2011	22.221407	23.40572	11.934129	2.970152	60.531408	8.268698	3.102852	0.212311	0.171086	1.167636	4.501348	9.155232	77.955339
2012	20.676893	24.610065	13.746661	3.24585	62.279468	8.061822	2.628702	0.211592	0.22735	1.340059	4.405757	8.81346	79.15475
2013	20.001304	24.859072	15.780535	3.532226	64.173137	8.244433	2.562382	0.214006	0.30519	1.601359	4.646919	9.329857	81.747426
2014	20.294752	26.551807	18.439851	4.096409	69.38282	8.328558	2.468724	0.222152	0.426633	1.734472	4.805599	9.657579	87.368957
